,Unnamed: 0,review_id,business_id,user_id,stars,blob_polarity,review,label,stem_review,complaint,compliments,suggestion for user,suggestion for business
10,287011,QkrSTAdYVD5E7-xtklbZEw,ENez40nj7Ze77A05bvWxCQ,9YPkhJA2qLoL4G8CljEvtA,5,0.0,when the line starts to build up they open another checkout,,when the line start to build up they open anoth checkout,0,0,0,0
11,287012,QkrSTAdYVD5E7-xtklbZEw,ENez40nj7Ze77A05bvWxCQ,9YPkhJA2qLoL4G8CljEvtA,5,0.25,always willing to help everybody in lobby evanescence after they close,,alway will to help everybodi in lobbi evanesc after they close,0,1,0,0
12,287013,QkrSTAdYVD5E7-xtklbZEw,ENez40nj7Ze77A05bvWxCQ,9YPkhJA2qLoL4G8CljEvtA,5,0.2,staff is very knowledgable about shipping options,,staff is veri knowledg about ship option,0,1,0,0
13,287014,QkrSTAdYVD5E7-xtklbZEw,ENez40nj7Ze77A05bvWxCQ,9YPkhJA2qLoL4G8CljEvtA,5,0.0,will continue to use this post office,,will continu to use thi post offic,0,0,0,0
14,287015,AKw0uh4zVyn8ZVdJYmpQBA,ENez40nj7Ze77A05bvWxCQ,Z4atfcVs9RezgdF7fh_LVw,1,0.0,i'm having the same experience now as tom g,,i'm have the same experi now as tom g,1,0,0,0
15,287016,AKw0uh4zVyn8ZVdJYmpQBA,ENez40nj7Ze77A05bvWxCQ,Z4atfcVs9RezgdF7fh_LVw,1,0.0,can't get anyone to answer the phone,,can't get anyon to answer the phone,1,0,0,0
16,287017,AKw0uh4zVyn8ZVdJYmpQBA,ENez40nj7Ze77A05bvWxCQ,Z4atfcVs9RezgdF7fh_LVw,1,0.0,"i've asked my mail carrier to let me know when i have a package (it goes to my apartment office, and the carrier is supposed to leave a notice in my box so i know it's there, but they never  do)",,"i'v ask my mail carrier to let me know when i have a packag (it goe to my apart office, and the carrier is suppos to leav a notic in my box so i know it' there, but they never  do)",1,0,0,0
17,287018,AKw0uh4zVyn8ZVdJYmpQBA,ENez40nj7Ze77A05bvWxCQ,Z4atfcVs9RezgdF7fh_LVw,1,-0.125,it's unbelievable that they can't stick a simple slip of paper in my mailbox to let me know there's a package at the office for me,,it' unbeliev that they can't stick a simpl slip of paper in my mailbox to let me know there' a packag at the offic for me,1,0,0,0
18,287019,AKw0uh4zVyn8ZVdJYmpQBA,ENez40nj7Ze77A05bvWxCQ,Z4atfcVs9RezgdF7fh_LVw,1,-0.05,i have no idea how long some things sit there before i realize they've been delivered,,i have no idea how long some thing sit there befor i realiz they'v been deliv,1,0,0,0
19,287020,AKw0uh4zVyn8ZVdJYmpQBA,ENez40nj7Ze77A05bvWxCQ,Z4atfcVs9RezgdF7fh_LVw,1,-0.3,"and not answering the phone is completely rude, inappropriate behavior for a business",,"and not answer the phone is complet rude, inappropri behavior for a busi",1,0,0,0
20,287021,AKw0uh4zVyn8ZVdJYmpQBA,ENez40nj7Ze77A05bvWxCQ,Z4atfcVs9RezgdF7fh_LVw,1,-1.0,this has to be the worst branch of the post office in the u,,thi ha to be the worst branch of the post offic in the u,1,0,0,0
21,287022,5p1JJUWefHyRw2YIhbsGWA,ENez40nj7Ze77A05bvWxCQ,77jywQZVdlLgY9ebZYQfQw,4,-0.041666667000000004,this office is crazy busy but the employees are always friendly,,thi offic is crazi busi but the employe are alway friendli,0,1,0,0
22,287023,5p1JJUWefHyRw2YIhbsGWA,ENez40nj7Ze77A05bvWxCQ,77jywQZVdlLgY9ebZYQfQw,4,0.0,"they have two of the automated machines where you can weigh packages and buy postage, which helps",,"they have two of the autom machin where you can weigh packag and buy postage, which help",0,0,1,0
23,287024,5p1JJUWefHyRw2YIhbsGWA,ENez40nj7Ze77A05bvWxCQ,77jywQZVdlLgY9ebZYQfQw,4,0.0,you won't get a po box there; they've been sold out for years,,you won't get a po box there; they'v been sold out for year,0,0,0,0
24,287025,vGJjuszKVCOP5L5LH-r3UQ,ENez40nj7Ze77A05bvWxCQ,VsSPcHeQBoY4J1uf9znDOQ,4,0.0,i don't quite understand the complaining about this branch of the post office,,i don't quit understand the complain about thi branch of the post offic,0,1,0,0
25,287026,vGJjuszKVCOP5L5LH-r3UQ,ENez40nj7Ze77A05bvWxCQ,VsSPcHeQBoY4J1uf9znDOQ,4,-0.1,i have found all of the employees to be polite and professional and the lines aren't unnecessarily slow,,i have found all of the employe to be polit and profession and the line aren't unnecessarili slow,1,1,0,0
26,287027,vGJjuszKVCOP5L5LH-r3UQ,ENez40nj7Ze77A05bvWxCQ,VsSPcHeQBoY4J1uf9znDOQ,4,-0.2,"i went in today to mail a package and there was a fairly long line, not surprising given the time of year",,"i went in today to mail a packag and there wa a fairli long line, not surpris given the time of year",1,0,0,0
27,287028,vGJjuszKVCOP5L5LH-r3UQ,ENez40nj7Ze77A05bvWxCQ,VsSPcHeQBoY4J1uf9znDOQ,4,0.3,there were 4 windows open and the line moved along quite nicely,,there were 4 window open and the line move along quit nice,0,1,0,0
28,287029,vGJjuszKVCOP5L5LH-r3UQ,ENez40nj7Ze77A05bvWxCQ,VsSPcHeQBoY4J1uf9znDOQ,4,0.36666666700000006,i found the lobby to be clean and well stocked with all of the forms and there were also pens scattered everywhere as well,,i found the lobbi to be clean and well stock with all of the form and there were also pen scatter everywher as well,0,1,0,0
29,287030,vGJjuszKVCOP5L5LH-r3UQ,ENez40nj7Ze77A05bvWxCQ,VsSPcHeQBoY4J1uf9znDOQ,4,0.0,in and out in 10 minutes,,in and out in 10 minut,1,0,0,0
30,287031,z2Og23L5hQOXb_JAxGI9zQ,ENez40nj7Ze77A05bvWxCQ,u5wXqephxQDXkIHcm8Ot6g,1,-0.303125,worst service ever! they lost a package that i was supposed to get called the place for two days straight did not get a call! i have faxed and email the supervisor two days in a row with my contact info and i have not even gotten a response yet! get this my neighborhood is a training route! isn't it common sense to look at the address of the package?,,worst servic ever! they lost a packag that i wa suppos to get call the place for two day straight did not get a call! i have fax and email the supervisor two day in a row with my contact info and i have not even gotten a respons yet! get thi my neighborhood is a train route! isn't it common sens to look at the address of the package?,1,0,0,0
31,287032,ba0Zd8Ya6uzx2ICawvqmLg,ENez40nj7Ze77A05bvWxCQ,W_R-gVF8OHNrIhtmyhDnyg,1,-0.3,if i could give negative stars i would give 5 negative stars,,if i could give neg star i would give 5 neg star,1,0,0,0
32,287033,ba0Zd8Ya6uzx2ICawvqmLg,ENez40nj7Ze77A05bvWxCQ,W_R-gVF8OHNrIhtmyhDnyg,1,-1.0,how can a monopoly operation be run so terrible?,,how can a monopoli oper be run so terrible?,1,0,0,0
33,287034,WXXm-YGcmO18sBEuC9syPg,ENez40nj7Ze77A05bvWxCQ,kBsI69oJukQfIA_-B1RU3Q,1,0.13636363599999998,i live on sweetwater ave just south of this post office,,i live on sweetwat ave just south of thi post offic,1,0,0,0
34,287035,WXXm-YGcmO18sBEuC9syPg,ENez40nj7Ze77A05bvWxCQ,kBsI69oJukQfIA_-B1RU3Q,1,-0.5,i get lousy service,,i get lousi servic,1,0,0,0
35,287036,WXXm-YGcmO18sBEuC9syPg,ENez40nj7Ze77A05bvWxCQ,kBsI69oJukQfIA_-B1RU3Q,1,0.0,the postal worker will not pick up a stamped letter and simply leaves it in my box,,the postal worker will not pick up a stamp letter and simpli leav it in my box,1,0,0,0
36,287037,WXXm-YGcmO18sBEuC9syPg,ENez40nj7Ze77A05bvWxCQ,kBsI69oJukQfIA_-B1RU3Q,1,0.0,i then have to drive it up to the p,,i then have to drive it up to the p,1,0,0,0
37,287038,WXXm-YGcmO18sBEuC9syPg,ENez40nj7Ze77A05bvWxCQ,kBsI69oJukQfIA_-B1RU3Q,1,0.0,and drop it off,,and drop it off,1,0,0,0
38,287039,WXXm-YGcmO18sBEuC9syPg,ENez40nj7Ze77A05bvWxCQ,kBsI69oJukQfIA_-B1RU3Q,1,0.0,i am presently setting here lookin at two letters that were delivered to me in error,,i am present set here lookin at two letter that were deliv to me in error,1,0,0,0
39,287040,WXXm-YGcmO18sBEuC9syPg,ENez40nj7Ze77A05bvWxCQ,kBsI69oJukQfIA_-B1RU3Q,1,0.0,i put them in the box with a note to please forward to the correct address,,i put them in the box with a note to pleas forward to the correct address,1,1,0,0
40,287041,WXXm-YGcmO18sBEuC9syPg,ENez40nj7Ze77A05bvWxCQ,kBsI69oJukQfIA_-B1RU3Q,1,0.0,they were left in my box,,they were left in my box,1,0,0,0
41,287042,WXXm-YGcmO18sBEuC9syPg,ENez40nj7Ze77A05bvWxCQ,kBsI69oJukQfIA_-B1RU3Q,1,0.1,the post master says they are too busy to pick stamped mail from our box,,the post master say they are too busi to pick stamp mail from our box,1,0,0,0
42,287043,WXXm-YGcmO18sBEuC9syPg,ENez40nj7Ze77A05bvWxCQ,kBsI69oJukQfIA_-B1RU3Q,1,0.0,no one answers the phone so will have to see if my congressman can help,,no one answer the phone so will have to see if my congressman can help,1,0,0,0
43,287044,WXXm-YGcmO18sBEuC9syPg,ENez40nj7Ze77A05bvWxCQ,kBsI69oJukQfIA_-B1RU3Q,1,-1.0,this is horrible service,,thi is horribl servic,1,0,0,0
44,287045,WXXm-YGcmO18sBEuC9syPg,ENez40nj7Ze77A05bvWxCQ,kBsI69oJukQfIA_-B1RU3Q,1,0.0,"also, when there is a certified piece of mail, he will not bring it to my door",,"also, when there is a certifi piec of mail, he will not bring it to my door",1,0,0,1
45,287046,WXXm-YGcmO18sBEuC9syPg,ENez40nj7Ze77A05bvWxCQ,kBsI69oJukQfIA_-B1RU3Q,1,0.0,he simply leaves the signature card in my mail box and i have to drive to the p,,he simpli leav the signatur card in my mail box and i have to drive to the p,1,0,0,0
46,287047,WXXm-YGcmO18sBEuC9syPg,ENez40nj7Ze77A05bvWxCQ,kBsI69oJukQfIA_-B1RU3Q,1,0.0,to pick up the certified mail,,to pick up the certifi mail,1,0,0,0
47,287048,nDu-iSM7CxyDbSmSSP7iSA,mF9Niq2WrMVl9fsUXfScyg,FIteu2ho-7I1jYlEdBnyiA,1,-0.1875,my dad was at the banner hospice in sun city west for a little over an hour before he passed away,,my dad wa at the banner hospic in sun citi west for a littl over an hour befor he pass away,1,0,0,0
48,287049,nDu-iSM7CxyDbSmSSP7iSA,mF9Niq2WrMVl9fsUXfScyg,FIteu2ho-7I1jYlEdBnyiA,1,0.0,he passed away struggling to breathe and in severe pain,,he pass away struggl to breath and in sever pain,0,0,0,0
49,287050,nDu-iSM7CxyDbSmSSP7iSA,mF9Niq2WrMVl9fsUXfScyg,FIteu2ho-7I1jYlEdBnyiA,1,0.0,i will never use  hospice of any type after this experience again,,i will never use  hospic of ani type after thi experi again,1,0,0,0
50,287051,nDu-iSM7CxyDbSmSSP7iSA,mF9Niq2WrMVl9fsUXfScyg,FIteu2ho-7I1jYlEdBnyiA,1,0.0,the nurse could not get a doctor to answer her pages to authorize pain meds for him,,the nurs could not get a doctor to answer her page to author pain med for him,1,0,0,0
51,287052,nDu-iSM7CxyDbSmSSP7iSA,mF9Niq2WrMVl9fsUXfScyg,FIteu2ho-7I1jYlEdBnyiA,1,0.0,there should have been meds in place he was coming from an  icu and had been under hospice for 3 hours there before transport,,there should have been med in place he wa come from an  icu and had been under hospic for 3 hour there befor transport,1,0,0,0
52,287053,nDu-iSM7CxyDbSmSSP7iSA,mF9Niq2WrMVl9fsUXfScyg,FIteu2ho-7I1jYlEdBnyiA,1,0.0,someone should have been waiting with the meds when he arrived,,someon should have been wait with the med when he arriv,1,0,0,0
53,287054,nDu-iSM7CxyDbSmSSP7iSA,mF9Niq2WrMVl9fsUXfScyg,FIteu2ho-7I1jYlEdBnyiA,1,0.0,my son said he will never forget the image of my dad begging and the look in his eyes at him needing something for pain,,my son said he will never forget the imag of my dad beg and the look in hi eye at him need someth for pain,1,0,0,0
54,287055,nDu-iSM7CxyDbSmSSP7iSA,mF9Niq2WrMVl9fsUXfScyg,FIteu2ho-7I1jYlEdBnyiA,1,-0.054545455,i am saddened to know that i authorized him to go under hospice and he died in pain and i have to live with that the rest of my life on top of the grief of loosing him,,i am sadden to know that i author him to go under hospic and he die in pain and i have to live with that the rest of my life on top of the grief of loos him,1,0,0,0
55,287056,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.0,"please avoid this hospice company, and instead choose hospice of the valley",,"pleas avoid thi hospic company, and instead choos hospic of the valley",1,0,0,0
56,287057,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.11666666699999999,"here's why: my dad is currently under hospice care, and at first banner hospice transferred him to serenity house near 16th street & indian school to assess his condition and try to get his pain under control",,"here' why: my dad is current under hospic care, and at first banner hospic transfer him to seren hous near 16th street & indian school to assess hi condit and tri to get hi pain under control",1,0,0,0
57,287058,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.35,the nurses seemed like lovely people and seemed very concerned for my dad,,the nurs seem like love peopl and seem veri concern for my dad,1,0,0,0
58,287059,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.0,"at one point, because my father can no longer walk even to the restroom, they put a catheter in",,"at one point, becaus my father can no longer walk even to the restroom, they put a cathet in",1,0,0,0
59,287060,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.25,he was aware of this and did not object to it,,he wa awar of thi and did not object to it,1,0,0,0
60,287061,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.0,"the next day, my mom and sister arrived at serenity house to see him, and noticed that the telephone receiver in his room was covered in blood",,"the next day, my mom and sister arriv at seren hous to see him, and notic that the telephon receiv in hi room wa cover in blood",1,0,0,0
61,287062,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.0,"my sister sat on the bed to talk to dad, and it was soaked with urine",,"my sister sat on the bed to talk to dad, and it wa soak with urin",1,0,0,0
62,287063,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.0,"the catheter had come out, caused his bleeding, and then leaked urine all over the bed",,"the cathet had come out, caus hi bleeding, and then leak urin all over the bed",1,0,0,0
63,287064,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.4,i understand that hospice provides end of life care and makes patients comfortable,,i understand that hospic provid end of life care and make patient comfort,0,0,0,0
64,287065,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.0,"dad had been given pain medication and anxiety medication, which was not a problem",,"dad had been given pain medic and anxieti medication, which wa not a problem",1,0,0,0
65,287066,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.3,"however, that medication made him unaware of his surroundings and of what he could truly do on his own, so when he tried to get up to go to the bathroom himself, he fell",,"however, that medic made him unawar of hi surround and of what he could truli do on hi own, so when he tri to get up to go to the bathroom himself, he fell",1,0,0,0
66,287067,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.0,"if you're going to catheterize someone and then give them drugs that may alter his state of mind, you should check on him once in awhile and not let him lie around in urine",,"if you'r go to catheter someon and then give them drug that may alter hi state of mind, you should check on him onc in awhil and not let him lie around in urin",1,0,0,0
67,287068,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,-0.125,"yes, i realize he's dying, and that there are other patients at serenity house, but please",,"yes, i realiz he' dying, and that there are other patient at seren house, but pleas",1,0,0,0
68,287069,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.0,this is unacceptable,,thi is unaccept,1,0,0,0
69,287070,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.425,"we are generally kind people, so i was willing to overlook even the catheter fiasco",,"we are gener kind people, so i wa will to overlook even the cathet fiasco",1,0,0,0
70,287071,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.033333333,"but then we met the ""social worker,"" elizabeth g",,"but then we met the ""social worker,"" elizabeth g",1,0,0,0
71,287072,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.0,"elizabeth met with my mom and sister at serenity house and told mom that if she couldn't take care of dad, she needed to move him to either a nursing home ($3000/mo) or assisted living ($3000/mo",,"elizabeth met with my mom and sister at seren hous and told mom that if she couldn't take care of dad, she need to move him to either a nurs home ($3000/mo) or assist live ($3000/mo",0,0,0,0
72,287073,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.0,) as soon as he was stable enough to leave serenity house,,) as soon as he wa stabl enough to leav seren hous,1,0,0,0
73,287074,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,-0.15,"elizabeth ""offered"" to help mom complete paperwork to apply for help from the state because my mom can't afford $3000/mo, but her ""offer"" made mom feel pressured, confused, and upset",,"elizabeth ""offered"" to help mom complet paperwork to appli for help from the state becaus my mom can't afford $3000/mo, but her ""offer"" made mom feel pressured, confused, and upset",1,0,0,0
74,287075,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.0,i called elizabeth myself to clarify what she'd told mom,,i call elizabeth myself to clarifi what she'd told mom,0,0,0,0
75,287076,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.0,i had to leave a message,,i had to leav a messag,0,0,0,0
76,287077,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.0,"elizabeth called back, but i was on a work phone call and couldn't pick up her call",,"elizabeth call back, but i wa on a work phone call and couldn't pick up her call",1,0,0,0
77,287078,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.0,"i called the hospice office, as instructed by elizabeth in her voicemail, and the lady at the office said to just call elizabeth back on the number she'd called me on",,"i call the hospic office, as instruct by elizabeth in her voicemail, and the ladi at the offic said to just call elizabeth back on the number she'd call me on",1,0,0,0
78,287079,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.05,"i did this, and elizabeth spent the first three minutes of the call explaining that she was going to call the office and tell them not to instruct people to call her cell phone, because she was going on vacation the next day, and it was inappropriate for me to call her cell phone",,"i did this, and elizabeth spent the first three minut of the call explain that she wa go to call the offic and tell them not to instruct peopl to call her cell phone, becaus she wa go on vacat the next day, and it wa inappropri for me to call her cell phone",1,0,0,0
79,287080,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.0,elizabeth-there's a thing called number blocking,,elizabeth-there' a thing call number block,0,0,0,0
80,287081,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.0,"if you don't want people calling you back on your cell phone, then block the number",,"if you don't want peopl call you back on your cell phone, then block the number",0,0,0,0
81,287082,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.0,your vacation is not my problem,,your vacat is not my problem,1,0,0,0
82,287083,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.0,you might deal with people dying every day; i don't,,you might deal with peopl die everi day; i don't,1,0,0,0
83,287084,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.04444444400000001,"the next day when my mom and sister were at the hospice location, another social worker tried to explain what dear elizabeth had meant to say, but my mom was far too upset at this point",,"the next day when my mom and sister were at the hospic location, anoth social worker tri to explain what dear elizabeth had meant to say, but my mom wa far too upset at thi point",1,0,0,0
84,287085,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.033333333,"she wanted my dad moved to another hospice organization, and the social worker, doctor, and staff worked to convince my mom to leave dad in their hospice",,"she want my dad move to anoth hospic organization, and the social worker, doctor, and staff work to convinc my mom to leav dad in their hospic",0,0,0,0
85,287086,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.2,this is a really shitty time for people to try to sell you stuff you don't want,,thi is a realli shitti time for peopl to tri to sell you stuff you don't want,1,0,1,0
86,287087,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.2,now they'd downgraded themselves to really tacky people in my opinion,,now they'd downgrad themselv to realli tacki peopl in my opinion,0,0,0,1
87,287088,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.0,"i called to once again try to clarify what was going on (i was at work), and asked if we had any rights at all",,"i call to onc again tri to clarifi what wa go on (i wa at work), and ask if we had ani right at all",1,0,0,0
88,287089,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.0,"the lady who answered the phone said that of course we have rights, and said she'd have the nurse call me to explain",,"the ladi who answer the phone said that of cours we have rights, and said she'd have the nurs call me to explain",1,0,0,0
89,287090,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.0,"that was over a week ago, and i'm still waiting to hear back",,"that wa over a week ago, and i'm still wait to hear back",1,0,0,0
90,287091,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.0,"banner did eventually agree to transfer dad back to his and my mom's house, where he remains",,"banner did eventu agre to transfer dad back to hi and my mom' house, where he remain",0,0,0,0
91,287092,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.12857142900000001,"my dad's primary care physician contacted hospice of the valley, and so far, though it's only been two days, both mom and i (my sister went back home to michigan last week) feel supported, as comfortable as possible with caring for dad, and informed",,"my dad' primari care physician contact hospic of the valley, and so far, though it' onli been two days, both mom and i (mi sister went back home to michigan last week) feel supported, as comfort as possibl with care for dad, and inform",1,0,0,0
92,287093,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.4,having a loved one die is a naturally stressful time,,have a love one die is a natur stress time,0,0,0,0
93,287094,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.15,"trust me, you don't need pushy, easily annoyed people who may be too overworked to do a good job helping you at this time",,"trust me, you don't need pushy, easili annoy peopl who may be too overwork to do a good job help you at thi time",1,0,0,0
94,287095,yQBcv3r62oJ8aRrdeN0dDQ,mF9Niq2WrMVl9fsUXfScyg,55tAixiWWGk0GsxJlPvXCA,1,0.0,go with hospice of the valley,,go with hospic of the valley,1,0,0,0
95,287096,CY1kJ87Wu5QKNSDyU7yrug,mF9Niq2WrMVl9fsUXfScyg,pYhIzY0xHoCTs293GQDvvA,1,-0.05,"i cannot give my story, as it is way too long",,"i cannot give my story, as it is way too long",1,0,0,0
96,287097,CY1kJ87Wu5QKNSDyU7yrug,mF9Niq2WrMVl9fsUXfScyg,pYhIzY0xHoCTs293GQDvvA,1,0.5,"all i will say is, if you love the person in need of hospice, never bring them here",,"all i will say is, if you love the person in need of hospice, never bring them here",1,0,1,0
97,287098,CY1kJ87Wu5QKNSDyU7yrug,mF9Niq2WrMVl9fsUXfScyg,pYhIzY0xHoCTs293GQDvvA,1,0.0,please listen to me,,pleas listen to me,1,0,0,0
